id,type,src,dst,app,latency,message,ctime,size,buffer
100,LINK,4,38,6,4.0000390183066665,6_(26-28),3014.3085402923402,2926373,1
100,LINK,8,25,6,4.000050739573333,6_(26-27),3016.3085637348736,3805468,1
92,LINK,38,10,7,2.0000252570933332,7_(31-32),3019.378936068735,1894282,1
92,LINK,38,4,7,4.000057682466666,7_(31-35),3019.378936068735,4326185,2
98,LINK,4,38,7,4.000054345,7_(30-31),3019.9296023104257,4075875,3
98,LINK,4,0,7,2.0000517968266665,7_(30-33),3019.9296023104257,3884762,4
92,LINK,10,8,7,2.0000252570933332,7_(31-32),3021.3789613258286,1894282,3
98,LINK,0,1,7,4.000051796826667,7_(30-33),3021.929654107252,3884762,3
92,LINK,4,11,7,3.0000576824666667,7_(31-35),3023.378993751202,4326185,2
92,LINK,11,48,7,3.0000576824666667,7_(31-35),3026.379051433669,4326185,0
101,LINK,46,19,4,4.0000454646,M.USER.APP.4,3029,3409845,1
102,LINK,30,1,7,3.00005801244,M.USER.APP.7,3029,4350933,2
101,LINK,19,7,4,4.000027032986667,4_(19-20),3084.4236043618434,2027474,0
101,LINK,19,18,4,2.0000245025733334,4_(19-22),3084.4236043618434,1837693,1
101,LINK,18,36,4,3.0000245025733334,4_(19-22),3086.423628864417,1837693,1
101,LINK,7,4,4,3.0000270329866665,4_(19-20),3088.42363139483,2027474,1
103,LINK,31,3,4,4.0000454646,M.USER.APP.4,3090,3409845,1
102,LINK,1,0,7,4.000049502466666,7_(29-30),3092.745475527715,3712685,1
103,LINK,3,22,4,4.0000454646,M.USER.APP.4,3094.0000454646,3409845,1
102,LINK,0,4,7,2.0000495024666667,7_(29-30),3096.7455250301814,3712685,1
98,LINK,38,10,7,2.0000252570933332,7_(31-32),3105.926409902179,1894282,0
98,LINK,38,4,7,4.000057682466666,7_(31-35),3105.926409902179,4326185,1
98,LINK,10,8,7,2.0000252570933332,7_(31-32),3107.9264351592724,1894282,1
98,LINK,4,11,7,3.0000576824666667,7_(31-35),3109.9264675846457,4326185,0
98,LINK,11,48,7,3.0000576824666667,7_(31-35),3112.9265252671125,4326185,0
104,LINK,22,3,8,4.000045593813334,M.USER.APP.8,3133,3419536,0
104,LINK,3,11,8,4.000045593813334,M.USER.APP.8,3137.0000455938134,3419536,0
105,LINK,40,28,4,4.0000454646,M.USER.APP.4,3139,3409845,1
92,LINK,8,7,7,4.0000387000133335,7_(34-36),3141.464781238337,2902501,1
102,LINK,4,38,7,4.000054345,7_(30-31),3141.9296023104257,4075875,2
102,LINK,4,0,7,2.0000517968266665,7_(30-33),3141.9296023104257,3884762,3
105,LINK,28,5,4,5.0000454646,M.USER.APP.4,3143.0000454646,3409845,3
102,LINK,0,1,7,4.000051796826667,7_(30-33),3143.929654107252,3884762,3
92,LINK,7,3,7,4.0000387000133335,7_(34-36),3145.46481993835,2902501,3
105,LINK,5,4,4,3.0000454646,M.USER.APP.4,3148.0000909292003,3409845,1
103,LINK,22,3,4,4.000041452746666,4_(19-21),3152.641901847975,3108956,0
103,LINK,3,7,4,4.000041452746666,4_(19-21),3156.641943300722,3108956,0
103,LINK,7,19,4,4.000041452746666,4_(19-21),3160.6419847534685,3108956,0
106,LINK,45,3,1,3.000025791346667,M.USER.APP.1,3162,1934351,1
106,LINK,3,12,1,4.000025791346666,M.USER.APP.1,3165.0000257913466,1934351,0
105,LINK,4,5,4,3.0000245025733334,4_(19-22),3198.495506764171,1837693,0
105,LINK,5,36,4,4.000024502573333,4_(19-22),3201.4955312667444,1837693,0
106,LINK,12,3,1,4.00004333164,1_(2-4),3210.8902711435717,3249873,0
106,LINK,12,3,1,4.00004113016,1_(2-5),3210.8902711435717,3084762,1
106,LINK,12,10,1,3.0000212946666664,1_(2-9),3210.8902711435717,1597100,2
106,LINK,10,8,1,2.0000212946666664,1_(2-9),3213.8902924382382,1597100,2
106,LINK,3,7,1,4.00004333164,1_(2-4),3214.8903144752117,3249873,2
106,LINK,8,25,1,4.0000212946666664,1_(2-9),3215.890313732905,1597100,2
106,LINK,3,7,1,4.00004113016,1_(2-5),3218.8903556053715,3084762,2
106,LINK,7,16,1,3.00004333164,1_(2-4),3218.8903578068516,3249873,2
106,LINK,7,16,1,3.00004113016,1_(2-5),3222.8903989370115,3084762,0
102,LINK,38,10,7,2.0000252570933332,7_(31-32),3227.926409902179,1894282,0
102,LINK,38,4,7,4.000057682466666,7_(31-35),3227.926409902179,4326185,1
98,LINK,8,7,7,4.0000387000133335,7_(34-36),3228.0122550717806,2902501,2
102,LINK,10,8,7,2.0000252570933332,7_(31-32),3229.9264351592724,1894282,2
102,LINK,4,11,7,3.0000576824666667,7_(31-35),3231.9264675846457,4326185,1
98,LINK,7,3,7,4.0000387000133335,7_(34-36),3232.012293771794,2902501,1
102,LINK,11,48,7,3.0000576824666667,7_(31-35),3234.9265252671125,4326185,1
106,LINK,12,3,1,4.000022975693334,1_(3-6),3254.556937810238,1723177,0
106,LINK,12,3,1,4.000044022413333,1_(3-7),3254.556937810238,3301681,1
106,LINK,12,10,1,3.00003729268,1_(3-8),3254.556937810238,2796951,2
106,LINK,10,8,1,2.00003729268,1_(3-8),3257.5569751029184,2796951,2
106,LINK,3,7,1,4.000022975693334,1_(3-6),3258.5569607859316,1723177,2
106,LINK,8,25,1,4.00003729268,1_(3-8),3259.5570123955986,2796951,2
106,LINK,7,16,1,3.000022975693333,1_(3-6),3262.556983761625,1723177,2
106,LINK,3,7,1,4.000044022413333,1_(3-7),3262.557004808345,3301681,2
106,LINK,7,16,1,3.0000440224133333,1_(3-7),3266.5570488307585,3301681,0
107,LINK,31,3,4,4.0000454646,M.USER.APP.4,3272,3409845,0
107,LINK,3,22,4,4.0000454646,M.USER.APP.4,3276.0000454646,3409845,0
108,LINK,32,4,9,3.0000234674133335,M.USER.APP.9,3282,1760056,0
108,LINK,4,23,9,4.0000234674133335,M.USER.APP.9,3285.0000234674135,1760056,0
107,LINK,22,3,4,4.000041452746666,4_(19-21),3334.641901847975,3108956,0
107,LINK,3,7,4,4.000041452746666,4_(19-21),3338.641943300722,3108956,0
107,LINK,7,19,4,4.000041452746666,4_(19-21),3342.6419847534685,3108956,0
102,LINK,8,7,7,4.0000387000133335,7_(34-36),3350.0122550717806,2902501,0
102,LINK,7,3,7,4.0000387000133335,7_(34-36),3354.012293771794,2902501,0
109,LINK,31,3,6,4.000051040773333,M.USER.APP.6,3370,3828058,0
110,LINK,22,3,0,4.000041167466667,M.USER.APP.0,3401,3087560,0
110,LINK,3,12,0,4.000041167466667,M.USER.APP.0,3405.000041167467,3087560,0
111,LINK,46,19,4,4.0000454646,M.USER.APP.4,3427,3409845,0
112,LINK,30,1,7,3.00005801244,M.USER.APP.7,3427,4350933,1
109,LINK,3,7,6,4.000050739573333,6_(26-27),3438.3084622557267,3805468,0
109,LINK,3,2,6,2.0000390183066665,6_(26-28),3438.3084622557267,2926373,1
109,LINK,2,4,6,4.0000390183066665,6_(26-28),3440.3085012740335,2926373,1
109,LINK,7,8,6,4.000050739573333,6_(26-27),3442.3085129953,3805468,1
109,LINK,4,38,6,4.0000390183066665,6_(26-28),3444.3085402923402,2926373,1
113,LINK,46,19,3,4.000033926453334,M.USER.APP.3,3446,2544484,2
109,LINK,8,25,6,4.000050739573333,6_(26-27),3446.3085637348736,3805468,2
114,LINK,6,3,7,2.00005801244,M.USER.APP.7,3449,4350933,2
113,LINK,19,7,3,4.000033926453334,M.USER.APP.3,3450.0000339264534,2544484,2
114,LINK,3,49,7,5.00005801244,M.USER.APP.7,3451.00005801244,4350933,1
113,LINK,7,3,3,4.000033926453334,M.USER.APP.3,3454.000067852907,2544484,1
115,LINK,6,4,9,3.0000234674133335,M.USER.APP.9,3458,1760056,1
113,LINK,3,12,3,4.000033926453334,M.USER.APP.3,3458.00010177936,2544484,1
115,LINK,4,23,9,4.0000234674133335,M.USER.APP.9,3461.0000234674135,1760056,1
116,LINK,22,3,8,4.000045593813334,M.USER.APP.8,3470,3419536,0
